Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01006636,Torry East,Aberdeen City,798,502,754,759,893,1001,1216,1907,343,983
S01006637,Hanover South,Aberdeen City,772,608,2463,3313.5,3030,3572,1207,3515,544,457
S01006638,Hanover South,Aberdeen City,779,663,1630,2310,1838,1843,714,6664,438,324
S01006639,Hanover South,Aberdeen City,924,702,1694,1740,1655,1490,2308,6179,681,205
S01006640,Hanover South,Aberdeen City,822,743,5973,5695,6491,6692,3610,4951,2794,1145.5
S01006641,Hanover North,Aberdeen City,1044,888,3513,3967,2852,3923,2997,6470,1976,220
S01006642,Hanover North,Aberdeen City,1299,1184,3554,4032,3677,3725,3174,5650,638,207
S01006643,Hanover North,Aberdeen City,698,637,5411,5824,5160,5073,4559,5750,2335,219
S01006644,Hanover North,Aberdeen City,1139,1001,4370,4354,4100,4609,3951,4306,2766,288
S01006645,George Street,Aberdeen City,688,512,1007,1049,874,1969,1306,4960,104,769
S01006646,George Street,Aberdeen City,861,762,3888,4871,5686,4431,1775,4665,311,195
S01006647,George Street,Aberdeen City,625,460,2962,2616,3026,3461,3013,4372,2027,597
S01006648,George Street,Aberdeen City,1751,1611,3506,4103,3531,4607,2898,4732,599,163
S01006649,George Street,Aberdeen City,954,828,2287,2481,1966,2411,2839,6660,675,642
S01006650,George Street,Aberdeen City,801,680,2621,3497,3438,2781,1088,6715,576,164
S01006651,George Street,Aberdeen City,677,536,2106,3031,2813,3335,536,6545,255,188
S01006652,George Street,Aberdeen City,744,664,5477,5319,5873,5609,4065,5412,1896,579
S01006653,Ashgrove,Aberdeen City,545,427,5467,4731,4998,5539,4785,5739,2844,2877
S01006654,Ashgrove,Aberdeen City,877,638,1188,1396,1132,1021,982,4012,1544,1262
S01006655,Ashgrove,Aberdeen City,809,598,3637,4380,2947,3356,4888,3405,909,1776
S01006656,Ashgrove,Aberdeen City,980,815,3391,3245,3314,3665,2916,6407,1310,814
S01006657,Ashgrove,Aberdeen City,525,447,2576,3333,3234,3538,2055,5969,4,296
S01006658,"Froghall, Powis and Sunnybank",Aberdeen City,1204,1006,2192,2734,2892,2634,787,4641,1380,180
S01006659,"Froghall, Powis and Sunnybank",Aberdeen City,603,484,6318,6482,6703,6035,3570,5697,4169,911
S01006660,"Froghall, Powis and Sunnybank",Aberdeen City,505,371,2358,2065,3367,4556,1030,5213,1169,137
S01006661,"Froghall, Powis and Sunnybank",Aberdeen City,592,477,4909,5353,5865,5307,1461,5962,4113,435
S01006662,"Froghall, Powis and Sunnybank",Aberdeen City,893,706,2481,3086,3344,3329,696,4426,1520,923
S01006663,"Froghall, Powis and Sunnybank",Aberdeen City,568,477,6784,6808,6845,6544,5656,5805,4660,293
S01006664,"Froghall, Powis and Sunnybank",Aberdeen City,578,500,5245,5382.5,5338,4932,3575,6411,2254.5,460
S01006665,"Froghall, Powis and Sunnybank",Aberdeen City,773,675,5380,5094,5460.5,5500,4347,5999,3068,141
S01006666,Seaton,Aberdeen City,1001,694,973,1033,956,855,1419,4581,629,603
S01006667,Seaton,Aberdeen City,750,528,552,977,510,882,248,5434,274,350
S01006668,Seaton,Aberdeen City,902,810,4426,4696,4855,5297,2771,3292,2418,311
S01006669,Seaton,Aberdeen City,965,755,2723,2846,2137,2329,5414,5240,991,611
S01006670,Seaton,Aberdeen City,857,738,4012,3865,4217,3733,5083,3900,1172,316
S01006671,Old Aberdeen,Aberdeen City,2029,1872,6190,6849,6916,6944,4606,1560,5221,982
S01006672,Old Aberdeen,Aberdeen City,801,573,2208,2246,3174,1956,1013,6685,1474,320.5
S01006673,Old Aberdeen,Aberdeen City,862,700,2373,2404,2557,2452,1924,5510,1249,1135
S01006674,Old Aberdeen,Aberdeen City,913,560,1045,1301,525,1678,1585,4409,1375,815
S01006675,Tillydrone,Aberdeen City,915,629,1512,1473,1785,1924,763,4810,1794,1379
S01006676,Tillydrone,Aberdeen City,734,473,1077,1342,860,1355,1204,4606,467,823
S01006677,Tillydrone,Aberdeen City,724,524,753,1014.5,555,543,1485,4486,509,1145.5
S01006678,Tillydrone,Aberdeen City,1690,1135,1595,1722,1603,1988,1119,3930,1524,1318
S01006679,Tillydrone,Aberdeen City,614,416,5716,5346,5422.5,5098,3496,6039,5469,3224
S01006680,Tillydrone,Aberdeen City,891,598,1326,1444,1492.5,2110,483,3718,2082,1060
S01006681,Woodside,Aberdeen City,773,464,1681,1778,1664,1235,1681,4536,2592,683
S01006682,Woodside,Aberdeen City,940,592,1547,1291,1876,1689,1055,6515,1864,653
S01006683,Woodside,Aberdeen City,930,664,1599,1231,1835,2235,1095,6445,1757,760
S01006684,Woodside,Aberdeen City,703,514,268,664,208,502,58,6836,282,500
S01006685,Woodside,Aberdeen City,671,498,1224,1186,825,1268,2282,6642,647,1093
S01006686,Hilton,Aberdeen City,593,406,2157,1952,2110,2293,1477,5359,3588,1767
S01006687,Hilton,Aberdeen City,735,490,2231,2322,2104,2694,1163,5474,3307,1958
S01006688,Hilton,Aberdeen City,915,517,4429,3494,4589,3463,4996,3769,3416,3943
S01006689,Hilton,Aberdeen City,931,725,6887,6886,6918,6891,5685,4639,3630,4727
S01006690,Hilton,Aberdeen City,583,427,4118,3997,3793,3723,2615,5991,4077,2305
S01006691,Hilton,Aberdeen City,623,454,5313,5230,4817.5,4704,3561,5503,3975,4193
S01006692,Hilton,Aberdeen City,754,544,5381,5225.5,4477,4429,4145,6213,4736,4565
S01006693,Hilton,Aberdeen City,960,705,4131,3507,4117,4242,3784,6752,1832,633
S01006694,Stockethill,Aberdeen City,896,488,1219,1531,906,1147,2172,1755,1229,2413
S01006695,Stockethill,Aberdeen City,732,439,2631,2999,2212,2961,3563,2379,1202,3876
S01006696,Stockethill,Aberdeen City,804,530,2079,2355,2227,2503,1979,2351,1103,677
S01006697,Stockethill,Aberdeen City,917,622,2095,2558,1632,2370,2805,2092,1640,1868
S01006698,Stockethill,Aberdeen City,783,519,982,891,955,1192,1986,2329,699,1268
S01006699,Stockethill,Aberdeen City,500,328,5068,5278,5596,5218,4420,2500,1867,1072
S01006700,Stockethill,Aberdeen City,833,535,2607,2872.5,2383,3025,2589,2539,2424,2042
S01006701,Mastrick,Aberdeen City,672,457,1315,1138,1534,1013,1851,5094,716,750.5
S01006702,Mastrick,Aberdeen City,780,497,3662,4007,3892,3381,1324,6457,4563.5,1459
S01006703,Mastrick,Aberdeen City,658,431,1919,2091,2070,2206,1476,6356,286,1085
S01006704,Mastrick,Aberdeen City,552,364,725,972.5,348,641,1758,6228,827,1213
S01006705,Mastrick,Aberdeen City,754,457,1993,1997,1936,2114,1012,6610,2992,2011
S01006706,Mastrick,Aberdeen City,608,410,2450,2377,2934,1457,1961,6665,2752,1297
S01006707,Mastrick,Aberdeen City,693,443,1042,1232,1258,948,669,5640,387,1574
S01006708,Sheddocksley,Aberdeen City,792,498,2727,2436,2738,1957,3416,4425,3528,1609
S01006709,Sheddocksley,Aberdeen City,913,580,2122,2121,2040,2320,2312,2278,2447,2441
S01006710,Sheddocksley,Aberdeen City,811,481,2756,3246,3003,2892,2694,963,3219,4143
S01006711,Sheddocksley,Aberdeen City,943,558,1495,2156,1287,1353,1927,1160,2524,2253
S01006712,Sheddocksley,Aberdeen City,505,307,3146,3562,2536,3731,2669,3139,3107,2597
S01006713,Sheddocksley,Aberdeen City,950,642,1820,2497.5,1857,1930,592,5645,2247,658
S01006714,Cummings Park,Aberdeen City,731,450,2519,2449,3157.5,2079,1594,3781,3493,2698
S01006715,Cummings Park,Aberdeen City,610,382,1413,1525,2739,1643,286,5055,693,871
S01006716,Cummings Park,Aberdeen City,594,393,1754,2072,1886.5,1676,1404,5430,305,1896
S01006717,Cummings Park,Aberdeen City,967,549,1812,2210,2279,1510,901,5348,694,1552
S01006718,Cummings Park,Aberdeen City,603,399,1950,2257,2215,2061,938,5605,878,1516
S01006719,Northfield,Aberdeen City,898,578,1884,1846,1930,1157,1717,4370,4681,1544
S01006720,Northfield,Aberdeen City,568,382,1983,2593,2261,1864,545,4786,4301,1111
S01006721,Northfield,Aberdeen City,942,606,2010,2149,1896,1769,1785,6396,985,1705
S01006722,Northfield,Aberdeen City,692,450,3028,2867,3688.5,2677,1794,5891,2171,1394
S01006723,Northfield,Aberdeen City,654,437,2176,2681,1897,2328,1366,6101,1156,2070
S01006724,Northfield,Aberdeen City,987,627,616,597,986,1107,204,5785,386,377
S01006725,Northfield,Aberdeen City,651,432,1560,2076,1528,781,1050,5930,3369,1531
S01006726,Heathryfold and Middlefield,Aberdeen City,877,616,1087,914,1941,1356,476,4189,932,393
S01006727,Heathryfold and Middlefield,Aberdeen City,1083,659,721,1212,729,547,352,5108,1142,559
S01006728,Heathryfold and Middlefield,Aberdeen City,765,505,2666,3220,3322,3148,1411,2047,1870,2203
S01006729,Heathryfold and Middlefield,Aberdeen City,874,560,1120,1159,1583,895,549,4099,2541,708
S01006730,Heathryfold and Middlefield,Aberdeen City,766,516,2639,2605,3228,2678,2152,1973,3429,1845
S01006731,Heathryfold and Middlefield,Aberdeen City,534,360,1286,1704,993,1025,1609,1812,4160,1320
S01006732,Kingswells,Aberdeen City,1089,703,4615,4832,4970,6277,5077,578,3063,4013
S01006733,Kingswells,Aberdeen City,955,619,6901,6866,6815,6782,6825,2699,6327,6776
S01006734,Kingswells,Aberdeen City,996,649,6726,6118,6091,5799,6598,4225,6145,6824
S01006735,Kingswells,Aberdeen City,578,346,6912,6911,6866,6561,5963,3599,6117,6199.5
S01006736,Kingswells,Aberdeen City,1126,775,6228,5917,6331,6702,6507,1255,6616,6949
S01006737,Kingswells,Aberdeen City,905,582,6124,6576,5655,6043,6137,1674,5098,5520
S01006738,Bucksburn South,Aberdeen City,909,686,3753,4198,4170.5,3986,1815,4386,1495,2665
S01006739,Bucksburn South,Aberdeen City,1226,902,5737,5749.5,5568,5247,4120,4789,3938,1528
S01006740,Bucksburn South,Aberdeen City,766,501,3572,3789,3196,3398,2417,5274,3230,1998
S01006741,Bucksburn South,Aberdeen City,659,353,2882,3243,2451,2399,2295,4194,4119,3533
S01006742,Bucksburn South,Aberdeen City,460,260,2683,2856.5,2202,2985,2747,3347,2375,4493
S01006743,Bucksburn North,Aberdeen City,728,500,4619,5746,4519,4250,2854,1954,3699,4320
S01006744,Bucksburn North,Aberdeen City,638,467,4034,4454,4055,3599,2655,3999,2506,1859
S01006745,Bucksburn North,Aberdeen City,847,533,2530,2204,3413,2216,1700,6222,1214,2677
S01006746,Bucksburn North,Aberdeen City,832,506,2827,2356,2817,2662,3293,5437,1892,1602
S01006747,Bucksburn North,Aberdeen City,1029,605,5621,5199,5258,5561,4671,3112,4961,6401
S01006748,Bucksburn North,Aberdeen City,1193,739,5964,5996,6015,6421,5227,1987,3864,4175
S01006749,Dyce,Aberdeen City,883,538,3702,3516,3070,2757,3198,6209,4408,4774
S01006750,Dyce,Aberdeen City,672,379,3603,3513.5,3595,2765,3512,4064,2223,3707.5
S01006751,Dyce,Aberdeen City,476,287,3992,3330.5,3987.5,2895,4252,3696,5407,3308
S01006752,Dyce,Aberdeen City,709,411,3911,3642,3451,3806,2842,4676,4861,3811
