nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_S_score,original_decile,S_expanded_decile,UK_IMD_S_rank,UK_IMD_S_pop_decile,UK_IMD_S_pop_quintile
E,E01028162,18.752,13.600000000000001,9.9,20.488615097838455,5,5.0,19207.0,5,3
E,E01025061,20.231,9.1,9.0,20.487283060246916,5,5.0,19208.0,5,3
S,S01008659,20.487031543828564,10.0,7.0,20.487031543828564,5,5.0,19209.0,5,3
E,E01017084,21.327,7.6,7.3999999999999995,20.48661496365157,5,5.0,19210.0,5,3
E,E01032586,18.265,12.9,11.3,20.48654523093638,5,5.0,19211.0,5,3
E,E01000277,18.23,14.399999999999999,10.6,20.4822821972531,5,5.0,19212.0,5,3
E,E01018501,19.238,11.899999999999999,9.700000000000001,20.482089783958966,5,5.0,19213.0,5,3
E,E01021497,19.792,12.1,8.4,20.480505893320597,5,5.0,19214.0,5,3
E,E01022344,20.001,11.799999999999999,8.1,20.47965972031349,5,5.0,19215.0,5,3
E,E01000792,18.856,13.700000000000001,9.6,20.479619636409065,5,5.0,19216.0,5,3
E,E01019188,18.886,11.600000000000001,10.6,20.478049452388767,5,5.0,19217.0,5,3
E,E01009253,20.238,9.8,8.6,20.476995279640683,5,5.0,19218.0,5,3
E,E01005977,20.281,9.6,8.6,20.473701078835457,5,5.0,19219.0,5,3
E,E01013775,21.757,11.4,4.5,20.472570111738335,4,5.0,19220.0,5,3
E,E01005455,19.947,11.0,8.6,20.471163443888866,5,5.0,19221.0,5,3
S,S01011517,20.46910137096945,10.0,8.0,20.46910137096945,5,5.0,19222.0,5,3
E,E01017209,21.274,9.3,6.6000000000000005,20.469041533905788,5,5.0,19223.0,5,3
E,E01033727,19.531,15.299999999999999,7.3,20.468464060920937,5,5.0,19224.0,5,3
N,95BB19S2,7.19172144069405,12.2,10.5,20.467899516430343,9,5.0,19225.0,5,3
E,E01000916,19.491,13.5,8.3,20.467569004677948,5,5.0,19226.0,5,3
S,S01007505,20.4657928102051,11.0,9.0,20.4657928102051,5,5.0,19227.0,5,3
E,E01020230,18.312,11.200000000000001,12.0,20.463468359024194,5,5.0,19228.0,5,3
N,95CC20S1,6.369080168363279,8.4,12.2,20.462171387357802,9,5.0,19229.0,5,3
E,E01005521,20.734,8.200000000000001,8.3,20.46055431062306,5,5.0,19230.0,5,3
S,S01010776,20.45861934566828,12.0,9.0,20.45861934566828,5,5.0,19231.0,5,3
W,W01001470,15.5,11.0,9.0,20.45814384326225,6,5.0,19232.0,5,3
E,E01025509,18.2,14.000000000000002,10.8,20.4577089082118,5,5.0,19233.0,5,3
E,E01026286,19.888,9.8,9.3,20.457485575834433,5,5.0,19234.0,5,3
E,E01015329,20.44,10.8,7.6,20.45695685369818,5,5.0,19235.0,5,3
E,E01016858,20.493,9.2,8.3,20.456857949341238,5,5.0,19236.0,5,3
E,E01030834,21.234,9.4,6.6000000000000005,20.456338778223902,5,5.0,19237.0,5,3
E,E01010418,19.952,10.5,8.799999999999999,20.45541457104716,5,5.0,19238.0,5,3
S,S01011353,20.455350125349703,10.0,11.0,20.455350125349703,5,5.0,19239.0,5,3
E,E01006665,19.422,9.0,10.7,20.45338077458151,5,5.0,19240.0,5,3
E,E01023332,20.084,11.5,8.0,20.453071980910934,5,5.0,19241.0,5,3
N,95HH03W1,6.229950919608253,7.9,13.1,20.45291128409729,9,5.0,19242.0,5,3
E,E01020396,23.101,5.4,4.6,20.451626448269643,4,5.0,19243.0,5,3
E,E01017131,21.759,9.9,5.2,20.451236104838458,4,5.0,19244.0,5,3
E,E01026940,19.377,12.5,9.0,20.44787732267123,5,5.0,19245.0,5,3
E,E01010348,18.75,12.0,10.6,20.44585445917625,5,5.0,19246.0,5,3
E,E01014949,19.185,13.100000000000001,9.1,20.444889141889178,5,5.0,19247.0,5,3
E,E01014063,17.816,12.8,12.2,20.4439130337626,5,5.0,19248.0,5,3
S,S01010565,20.443500403019133,14.0,11.0,20.443500403019133,5,5.0,19249.0,5,3
E,E01031570,19.325,11.899999999999999,9.4,20.44158400811328,5,5.0,19250.0,5,3
E,E01008934,19.228,12.5,9.3,20.44029168893644,5,5.0,19251.0,5,3
E,E01011089,19.63,10.4,9.5,20.439299608165282,5,5.0,19252.0,5,3
E,E01002642,21.183,10.5,6.1,20.438361806049755,5,5.0,19253.0,5,3
E,E01006864,19.349,10.6,10.0,20.437966321009263,5,5.0,19254.0,5,3
E,E01026442,21.122,8.200000000000001,7.3999999999999995,20.437546805936336,5,5.0,19255.0,5,3
E,E01002977,18.446,14.799999999999999,9.8,20.435151949360538,5,5.0,19256.0,5,3
E,E01024512,18.515,14.899999999999999,9.6,20.435004405834285,5,5.0,19257.0,5,3
E,E01019715,19.178,11.700000000000001,9.8,20.434898084097654,5,5.0,19258.0,5,3
